Word,Count,Translation,Hiragana Reading,Category
あなた,6,you,あなた,名詞
あの,1,this,あの,名詞
あり,1,existing,あり,名詞
あれ,1,that,あれ,名詞
いい,1,good,いい,名詞
いたい,1,hurt,いたい,名詞
いつか,1,5th of the month,いつか,名詞
いつも,3,always,いつも,名詞
いる,14,There is,いる,名詞
おいしい,2,delicious,おいしい,名詞
お坊さん,1,buddhist priest,おほうさん,名詞
お寺,1,temple,おてら,名詞
から,4,from,から,名詞
ぐちゃぐちゃ,2,disordered,ぐちゃぐちゃ,名詞
ぐらい,3,about,ぐらい,名詞
けっこう,2,pretty much,けっこう,名詞
ここ,1,here,ここ,名詞
こと,1,that,こと,名詞
この,6,this,この,名詞
こぼれ,1,spill,こばれ,名詞
これ,14,this,これ,名詞
こんな,1,this sort of,こんな,名詞
さつま芋,1,sweet potato,さつまいも,名詞
さん,11,Mr/Mrs,さん,敬称
じゃ,12,well,じゃ,名詞
ずっと,3,always,ずっと,名詞
せい,1,because of,せい,名詞
そう,9,like,そう,名詞
その,5,there,その,名詞
たい,3,want,たい,名詞
だけ,6,only,なけ,名詞
たち,21,pluralizing suffix,たち,接尾詞
ため,4,because,てめ,名詞
ちょっと,1,little,ちょっと,名詞
でも,1,but,でも,名詞
どこか,1,somewhere,どこか,名詞
どんな,2,what kind of,どんな,名詞
ない,89,negation,ない,名詞
ながら,1,while,ながら,名詞
なく,12,without,なく,名詞
なら,1,if,なら,名詞
なんか,12,kinda/like(slang),なんか,名詞
にち,1,day,にち,名詞
ねえ,2,right?,ねえ,名詞
はじめて,3,start,はじめて,名詞
ふたつ,1,two,ふたつ,名詞
ふたり,1,together,ふたり,名詞
ふたりぼっち,2,together,ふたりぼっち,名詞
ほんと,1,really,ほんと,名詞
まだ輝い,1,to shine,まだかがや,名詞
まで,3,until,まで,名詞
まま,1,as it is,まま,名詞
もう,9,already,もう,名詞
もう離さ,2,already separate,もうはなさ,名詞
よう,11,like,よう,名詞
よね,35,Right?,よね,名詞
より,3,than,より,名詞
わくわく,1,to be excited,わくわく,名詞
一,15,one,いち,数字
一つ,3,one thing,ひとつ,数字
一旦,1,once,いったん,数字
一番,1,first,いちばん,数字
一緒,3,doing(together),いっしょ,数字
一週間,1,one week,いっしゅうかん,数字
万,4,ten thousand,まん,数字
三つ,1,three things,みっつ,数字
上が,2,up,しょう,名詞
不安,1,anxiety,ふあん,名詞
不思議,1,wonderful,ふじぎ,名詞
不能,2,impossible,ふのう,名詞
世界,7,world,せかい,名詞
両手,2,both hands,りょうて,名詞
中,15,middle,なか,名詞
主義,1,doctrine,しゅぎ,名詞
乱れる,1,to be disordered,みだれる,名詞
予感,1,hunch,よかん,名詞
事実,1,fact,じじつ,名詞
二,3,two,に,名詞
人,39,person,ひと,名詞
人きり,1,alone,ひときり,名詞
人生,1,life,じんせい,名詞
人間,8,human,にんげん,名詞
今,9,now,いま,名詞
今同,1,same time,いまどう,名詞
今年,1,this year,ことし,名詞
今日,11,today,きょう,名詞
仕事,4,work,しごと,名詞
仕方,2,way,しかた,名詞
他,7,other,ほか,名詞
代償,1,compensation,だいしょう,名詞
会,5,meeting,かい,名詞
会社,2,company,かいしゃ,名詞
伝え,1,legend,つたえ,名詞
伝え,1,to tell,うつえ,名詞
低い,1,low,ひくい,名詞
体,2,body,からだ,名詞
体中,1,all over the body,からだじゅう,名詞
何,5,what,なに,名詞
何,1,what,なに,名詞
何か,1,something,なにか,名詞
何処,1,place,どこところ,名詞
何度,4,how many times,なんど,名詞
作る,7,to make,つくる,名詞
使,1,use,つか,名詞
使わ,1,to use,つかわ,名詞
例え,5,example,たとえ,名詞
信じ,1,to believe,しんじ,名詞
信じる,1,to believe,しんじる,名詞
健康,2,health,けんこう,名詞
側,1,side,がわ,名詞
傘より,1,umbrella,かさ,名詞
傷つい,1,to be wounded,きずつく,名詞
僕,5,I,ぼく,名詞
僕ら,1,we,ぼくら,名詞
償う,1,to make up for,つぐなう,名詞
優,1,gentle,やさ,名詞
優し,2,kind,やさし,名詞
光,2,light,ひかり,名詞
入り口,1,entrance,いりぐち,名詞
入る,6,to enter,はいる,名詞
全,1,all,ぜん,名詞
全て,2,whole,すべて,名詞
全部,1,all,ぜんぶ,名詞
共通,1,common,きょうつう,名詞
内容,3,contents,ないよう,名詞
再生,1,regeneration,さいせい,名詞
冬,2,winter,ふゆ,名詞
冷,2,cool,つめ,名詞
出,5,exit,で,名詞
出会,5,meeting,であう,名詞
出来る,1,to be able to do,できる,名詞
出来る,1,to be able to do,できる,名詞
出逢,2,to meet by chance,であう,名詞
分,1,part,ぶん,名詞
切り裂け,1,to cut off,きりさけ,名詞
初,1,first,はつ,名詞
別れ,1,parting,わかれ,名詞
制御,2,control,せいぎょ,名詞
前,9,front,まえ,名詞
剥け,1,to peel off,むけ,名詞
割,3,rate,わり,名詞
力,1,power,りょく,名詞
加速,1,acceleration,かそく,名詞
労力,1,labor,ろうりょうく,名詞
勉強,1,study,べんじょう,名詞
勝ち残る,1,to win and advance,かちのこる,名詞
勝手,2,one's own convenience,かって,名詞
匂,1,smell,にお,名詞
包ん,1,to wrap,つつん,名詞
危,1,dangerous,あぶない,名詞
友達,1,friend,ともだち,名詞
右,1,left,みぎ,名詞
叶え,1,grant,かなえる,名詞
合,2,fit,あい,名詞
合いっこし,1,suited,あいっこし,名詞
同じ,5,same,おなじ,名詞
名前,4,name,なまえ,名詞
吐い,1,to breath out,はい,名詞
君,16,you,きみ,名詞
吠えろ,2,to bark,ほえろ,名詞
含める,1,to include,ふくめる,名詞
味気,2,interesting,あじき,名詞
呼び覚ませ,2,to wake up,よびさませ,名詞
呼ぶ,1,to call out,よぶ,名詞
咲,1,blossom,さ,名詞
咲く命よ,2,to bloom,さくいのちよ,名詞
唇,1,lips,くちびる,名詞
囁い,1,to whisper,ささや,名詞
四つ,2,four things,よつ,名詞
回,6,times(how many),かい,名詞
国,2,country,くに,名詞
地平線,1,horizon,ちへいせん,名詞
執着,1,attachment,しゅうちゃく,名詞
基,1,fundamentals,もと,名詞
場合,1,case,ばあい,名詞
塗ぬり,1,coating,ぬり,名詞
塗り替え,1,to repaint,ぬりかえ,名詞
増え,1,increase,ふえ,名詞
増える,1,to multiply,ふえる,名詞
壊し,4,to break,こわし,名詞
声,12,voice,こえ,名詞
変,1,strange,へん,名詞
変わ,1,to change,かわ,名詞
変わる,1,to change,かわる,名詞
夏,2,summer,なつ,名詞
多,5,many,おおい,名詞
夜明け前,2,before the dawn,よあけまえ,名詞
夢,1,dream,ゆめ,名詞
夢ゆめ,2,dream,ゆめ,名詞
夢中,1,absorbed in,むちゅう,名詞
大きな,1,big,だいきな,名詞
大事,1,important,だいじ,名詞
大切,10,important,だいせつ,名詞
天気,1,weather,てんき,名詞
失,1,lose,うしな,名詞
失う,1,laugh,わらう,名詞
失く,1,to lose,なく,名詞
失く,1,loss,しつく,名詞
奇跡,6,miracle,きせき,名詞
始め,1,start,はじめ,名詞
姿,1,figure,すがた,名詞
嫌,1,disliking,いや,名詞
嬉しい,1,happy,うれしい,名詞
季節,2,season,させつ,名詞
守る,1,to protect,まもる,名詞
完璧,2,perfect,かんぺき,名詞
定期,1,fixed period,ていき,名詞
宝物,1,treasure,ほうもつ,名詞
実,1,truth,じつ,名詞
家,1,house,いえ,名詞
容赦,1,forgiveness,ようしゃ,名詞
寂しい,2,lonely,さびしい,名詞
寄付,4,contribution,きふ,名詞
寒い,3,cold,さむい,名詞
寝転,1,to lie down,ねころが,名詞
対して,1,for,たいして,名詞
導く,2,to guide,まちび,名詞
少す,3,small,しょう,名詞
尽き,1,to be used up,つき,名詞
居,1,residence,きょ,名詞
居て,1,to be,いて,名詞
届,10,deliver,とどけ,名詞
嵐,1,storm,あらし,名詞
巡り,1,circumference,めぐり,名詞
希望,2,hope,きぼう,名詞
帯,1,obi,おび,名詞
帰る,1,to return,かえる,名詞
平和,1,peace,へいわ,名詞
平気,1,calm,へいき,名詞
平穏,1,tranquil,へいおん,名詞
年,5,year,とし,名詞
